name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Google Keep - notes and lists,Productivity,Google Inc.,"100,000,000 - 500,000,000",13 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Simplest Checklist(check list),Productivity,JakiganicSystems,"1,000,000 - 5,000,000",18 March 2014,Rated for 3+,4.3,5 (4.1 - 5.0)
Cozi Family Organizer,Productivity,Cozi Inc.,"1,000,000 - 5,000,000",10 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Simplest Shopping List,Productivity,GadgetJudge,"10,000 - 50,000",2 December 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Notepad,Productivity,PowerAPP,"10,000,000 - 50,000,000",16 October 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Simplest Shopping List Pro,Productivity,GadgetJudge,100 - 500,23 September 2015,Rated for 3+,4.7,5 (4.1 - 5.0)
Swift Shopper - Shopping List,Productivity,Swift Shopper Inc.,"5,000 - 10,000",11 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
To Do List,Productivity,Splend Apps,"1,000,000 - 5,000,000",16 November 2016,Rated for 3+,4.7,5 (4.1 - 5.0)
Wunderlist: To-Do List & Tasks,Productivity,6 Wunderkinder GmbH,"5,000,000 - 10,000,000",5 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
MyGroceries Shopping List,Productivity,Ofir Miron,100 - 500,17 November 2016,Rated for 3+,4.8,5 (4.1 - 5.0)
Trello,Productivity,"Trello, Inc.","1,000,000 - 5,000,000",22 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
My Shopping list,Productivity,mobivention apps,"10,000 - 50,000",14 January 2017,Rated for 3+,3.1,4 (3.1 - 4.0)
LIC - Smart Shopping List,Productivity,PalasPro Sofware,"10,000 - 50,000",18 December 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Alarm Clock for Heavy Sleepers,Productivity,AMdroid Alarm Clock - No more oversleep,"100,000 - 500,000",21 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Simple Alarm Clock Free No Ads,Productivity,Yuriy Kulikov,"500,000 - 1,000,000",3 September 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Walk Me Up! Alarm Clock,Productivity,Bazzinga Labs,"100,000 - 500,000",9 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Simple Alarm Clock Premium,Productivity,Yuriy Kulikov,"500 - 1,000",18 September 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Alarm,Productivity,Angel Arias,"100,000 - 500,000",16 January 2014,Rated for 3+,4.1,5 (4.1 - 5.0)
Easy Alarm Youtube,Productivity,Cimleah,"100,000 - 500,000",23 November 2014,Rated for 3+,4.5,5 (4.1 - 5.0)
Alarm Clock to Wake You Up,Productivity,APP IDEA AZ,"10,000 - 50,000",18 November 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Battery 100% Alarm,Productivity,Appeteria,"1,000,000 - 5,000,000",14 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Everyday Alarm Clock,Productivity,Aravindraj Palani,"1,000 - 5,000",20 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Alarm Clock Widget,Productivity,BlueDragon Inc.,"10,000 - 50,000",27 June 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Alarm Clock - Reminder App,Productivity,Best Browser,"10,000 - 50,000",17 June 2015,Rated for 3+,4.4,5 (4.1 - 5.0)
reMind Alarm Clock,Productivity,atDev,"100,000 - 500,000",22 December 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Alarm Clock Plus(NoAds),Lifestyle,"Alarm Clock Plus / Binary Tactics, LLC.","50,000 - 100,000",18 November 2012,Rated for 3+,4.6,5 (4.1 - 5.0)
Music Alarm Clock Sleep Timer,Productivity,Sleepcast Ltd,"5,000 - 10,000",25 May 2016,Rated for 3+,3.6,4 (3.1 - 4.0)
LINE Lite: Free Messages,Communication,LINE Corporation,"5,000,000 - 10,000,000",31 August 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
LINE Camera - Photo editor,Photography,LINE Corporation,"100,000,000 - 500,000,000",17 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
LINE Live Player,Communication,LINE Corporation,"1,000,000 - 5,000,000",5 April 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
LINE@App (LINEat),Business,LINE Corporation,"5,000,000 - 10,000,000",13 December 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
Foodie - Delicious Camera,Photography,LINE Corporation,"5,000,000 - 10,000,000",21 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
LINE Tools,Tools,LINE Corporation,"1,000,000 - 5,000,000",24 March 2014,Rated for 3+,4.1,5 (4.1 - 5.0)
LINE Greeting Card,Communication,LINE Corporation,"10,000,000 - 50,000,000",21 March 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
LINE: Disney Tsum Tsum,Puzzle,LINE Corporation,"10,000,000 - 50,000,000",27 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
LINE SnapMovie,Video Players & Editors,LINE Corporation,"5,000,000 - 10,000,000",29 September 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
Popcorn Buzz: Free Group Calls,Communication,LINE Corporation,"1,000,000 - 5,000,000",25 July 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
LINE I Love Coffee,Simulation,LINE Corporation,"5,000,000 - 10,000,000",15 November 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Free Facetime Video Call Chat,Communication,ThienTinhGabo,"1,000,000 - 5,000,000",25 December 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
video call & chat ICQ,Communication,ICQ,"10,000,000 - 50,000,000",16 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
JusTalk - video calls and chat,Communication,JusTalk,"1,000,000 - 5,000,000",20 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Daily Horoscopes Free,Lifestyle,Mail.Ru Group,"5,000,000 - 10,000,000",23 December 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
Mail.Ru - Email App,Communication,Mail.Ru Group,"10,000,000 - 50,000,000",12 December 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
Cloud Mail.Ru,Productivity,Mail.Ru Group,"1,000,000 - 5,000,000",18 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Low-cost Calls,Communication,Mail.Ru Group,"500,000 - 1,000,000",4 October 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
My World. Movies. Music. Fun.,Social,Mail.Ru Group,"5,000,000 - 10,000,000",3 November 2015,Rated for 12+,4.2,5 (4.1 - 5.0)
Amigo web-browser,Communication,Mail.Ru Group,"1,000,000 - 5,000,000",8 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Search Mail.Ru,Tools,Mail.Ru Group,"500,000 - 1,000,000",5 September 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Pulse,Communication,Mail.Ru Group,"10,000 - 50,000",22 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Backgammon Long Arena,Board,Mail.Ru Group,"100,000 - 500,000",13 January 2017,Rated for 12+,3.8,4 (3.1 - 4.0)
Backgammon Short Arena,Board,Mail.Ru Group,"500 - 1,000",20 January 2017,Rated for 3+,5.0,5 (4.1 - 5.0)
Hangouts Dialer - Call Phones,Communication,Google Inc.,"10,000,000 - 50,000,000",2 September 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
Google Allo,Communication,Google Inc.,"10,000,000 - 50,000,000",19 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
Kik,Communication,Kik Interactive,"100,000,000 - 500,000,000",19 January 2017,Rated for 12+,4.3,5 (4.1 - 5.0)
"Azar-Video Chat&Call,Messenger",Communication,Hyperconnect inc,"10,000,000 - 50,000,000",22 December 2016,Rated for 12+,4.1,5 (4.1 - 5.0)
Snapchat,Social,Snap Inc,"100,000,000 - 500,000,000",10 January 2017,Rated for 12+,4.0,4 (3.1 - 4.0)
ZapZap Messenger,Communication,Private Host,"5,000,000 - 10,000,000",20 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
Aniways - Telegram Unofficial,Communication,Aniways,"1,000,000 - 5,000,000",23 June 2015,Rated for 3+,4.3,5 (4.1 - 5.0)
One's,Communication,One's Production,"500,000 - 1,000,000",13 January 2017,Rated for 3+,3.9,4 (3.1 - 4.0)
Glide - Video Chat Messenger,Communication,Glide,"10,000,000 - 50,000,000",19 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Video Calling Free,Communication,Nori Dev,"1,000,000 - 5,000,000",23 September 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
video face time for android,Communication,KTC CCP,"1,000,000 - 5,000,000",6 September 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Free Facetime Video Call,Communication,Kingakuga,"10,000 - 50,000",25 November 2016,Rated for 12+,3.8,4 (3.1 - 4.0)
Live Talk - free video chat,Communication,Soft Lab,"500,000 - 1,000,000",25 November 2016,Rated for 12+,3.9,4 (3.1 - 4.0)
hike messenger,Social,Hike Ltd.,"50,000,000 - 100,000,000",20 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Tango: Free Video Calls & Text,Social,Tango,"100,000,000 - 500,000,000",22 December 2016,Rated for 12+,4.3,5 (4.1 - 5.0)
SOMA free video call and chat,Communication,Instanza Interactive Limited,"10,000,000 - 50,000,000",21 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Skype WiFi,Travel & Local,Skype,"10,000,000 - 50,000,000",21 September 2014,Rated for 3+,3.9,4 (3.1 - 4.0)
Free WiFi Internet Finder,Travel & Local,kapron-ap,"1,000,000 - 5,000,000",10 January 2017,Rated for 3+,3.6,4 (3.1 - 4.0)
Swift WiFi:Global WiFi Sharing,Travel & Local,DotC United Swift Team,"50,000,000 - 100,000,000",27 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Japan Connected-free Wi-Fi,Travel & Local,NTT Broadband Platform Inc.,"500,000 - 1,000,000",1 December 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Sky WiFi Finder,Travel & Local,The Cloud Networks,"1,000,000 - 5,000,000",18 January 2017,Rated for 3+,3.7,4 (3.1 - 4.0)
WiFi Nerede,Travel & Local,TTNET A.S.,"100,000 - 500,000",22 September 2016,Rated for 3+,3.3,4 (3.1 - 4.0)
Show Wifi Password 2016 - Root,Travel & Local,Free Wifi password projects,"1,000,000 - 5,000,000",11 July 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
Warp My Face: Fun Photo Editor,Lifestyle,Kaufcom Games Apps Widgets,"1,000,000 - 5,000,000",24 April 2015,Rated for 3+,3.2,4 (3.1 - 4.0)
Google Street View,Travel & Local,Google Inc.,"500,000,000 - 1,000,000,000",6 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
WIFI MAP- passwords & places,Travel & Local,SergPetrov,"100,000 - 500,000",10 October 2015,Rated for 3+,3.6,4 (3.1 - 4.0)
Wifi Map Passwords - Free Wifi,Travel & Local,VTNext.com,"100,000 - 500,000",9 July 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
WIFFINITY-WIFI ACCESS PASSWORD,Travel & Local,WIFFINITY,"100,000 - 500,000",1 November 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Quick Browser,Communication,carlrogers,"100,000 - 500,000",4 August 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Next Browser - Fast & Private,Communication,GO Dev Team @ Android,"5,000,000 - 10,000,000",8 September 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Browser for Android,Communication,Easyelife,"1,000,000 - 5,000,000",13 September 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Smart Search & Web Browser,Communication,Reactive Phone,"100,000 - 500,000",18 January 2017,Rated for 3+,4.6,5 (4.1 - 5.0)
Dolphin Zero Incognito Browser,Social,Dolphin Browser,"1,000,000 - 5,000,000",19 January 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Dolphin Video - Flash Player,Video Players & Editors,Dolphin Browser,"500,000 - 1,000,000",4 May 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Dolphin Jetpack - Fast & Flash,Communication,Dolphin Browser,"1,000,000 - 5,000,000",3 April 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Dolphin Autofill by Fillr,Tools,Dolphin Browser,"100,000 - 500,000",10 August 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Dolphin Battery Saver,Lifestyle,Dolphin Browser,"500,000 - 1,000,000",20 July 2012,Rated for 3+,4.5,5 (4.1 - 5.0)
Dolphin | YeeCloud Translate,Communication,Dolphin Browser,"1,000,000 - 5,000,000",26 July 2016,Rated for 3+,3.6,4 (3.1 - 4.0)
Dolphin QR & Barcode Scanner,Books & Reference,Dolphin Browser,"10,000 - 50,000",6 April 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Dolphin Reader for Android,Books & Reference,Dolphin Browser,"10,000 - 50,000",10 May 2016,Rated for 3+,3.3,4 (3.1 - 4.0)
Dolphin Show IP,Communication,Dolphin Browser,"100,000 - 500,000",6 September 2012,Rated for 3+,4.3,5 (4.1 - 5.0)
Dropbox for Dolphin,Productivity,Dolphin Browser,"100,000 - 500,000",3 July 2013,Rated for 3+,4.0,4 (3.1 - 4.0)
Evernote for Dolphin,Productivity,Dolphin Browser,"50,000 - 100,000",13 December 2013,Rated for 3+,4.0,4 (3.1 - 4.0)
Dolphin Ultimate Flag,Communication,Dolphin Browser,"100,000 - 500,000",7 September 2012,Rated for 3+,4.3,5 (4.1 - 5.0)
Bookmarks Widget,Lifestyle,Dolphin Browser,"100,000 - 500,000",17 August 2012,Rated for 3+,3.6,4 (3.1 - 4.0)
Box for Dolphin,Communication,Dolphin Browser,"100,000 - 500,000",13 September 2012,Rated for 3+,4.2,5 (4.1 - 5.0)
CM Security AppLock AntiVirus,Tools,Cheetah Mobile (AppLock & AntiVirus),"100,000,000 - 500,000,000",18 January 2017,Rated for 3+,4.7,5 (4.1 - 5.0)
AppLock - Fingerprint Unlock,Tools,Cheetah Mobile (AppLock & AntiVirus),"1,000,000 - 5,000,000",29 November 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
CM Security Lite - Antivirus,Tools,Cheetah Mobile (AppLock & AntiVirus),"5,000,000 - 10,000,000",16 November 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
CM Security for x86(Intel CPU),Tools,Cheetah Mobile (AppLock & AntiVirus),"5,000,000 - 10,000,000",21 November 2014,Rated for 3+,4.6,5 (4.1 - 5.0)
VPN CM Security-Free Fast VPN,Tools,Cheetah Mobile (AppLock & AntiVirus),"1,000,000 - 5,000,000",17 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Halloween CM Security Theme,Lifestyle,Cheetah Mobile (AppLock & AntiVirus),"5,000,000 - 10,000,000",12 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Speed Test,Tools,Cheetah Mobile (AppLock & AntiVirus),"1,000,000 - 5,000,000",1 December 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Armorfly Browser Downloader,Tools,Cheetah Mobile (AppLock & AntiVirus),"100,000 - 500,000",19 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Cloud Space of CM Security,Tools,Cheetah Mobile (AppLock & AntiVirus),"1,000,000 - 5,000,000",19 August 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Happy Diwali CM Security Theme,Productivity,Cheetah Mobile (AppLock & AntiVirus),"5,000,000 - 10,000,000",23 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
MerryChristmas CMSecurityTheme,Lifestyle,Cheetah Mobile (AppLock & AntiVirus),"1,000,000 - 5,000,000",23 November 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
CM TouchMe - Assistive Touch,Tools,Cheetah Mobile (AppLock & AntiVirus),"100,000 - 500,000",12 September 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
"GoTap! - Save, Control 3G Data",Tools,Cheetah Mobile (AppLock & AntiVirus),"10,000 - 50,000",3 June 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Heartbleed Scanner,Tools,Cheetah Mobile (AppLock & AntiVirus),"1,000,000 - 5,000,000",7 May 2014,Rated for 3+,4.6,5 (4.1 - 5.0)
Notification Cleaner,Tools,Cheetah Mobile (AppLock & AntiVirus),"100,000 - 500,000",19 April 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
CM QR Code & Bar Code Scanner,Tools,Cheetah Mobile (AppLock & AntiVirus),"50,000 - 100,000",17 August 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Browser,Communication,XMan,"100,000 - 500,000",20 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
InBrowser - Incognito Browsing,Communication,TomPod Apps,"1,000,000 - 5,000,000",20 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Puffin Browser Pro,Communication,CloudMosa Inc.,"100,000 - 500,000",22 June 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Rocket Browser,Communication,IBOM,"100,000 - 500,000",15 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Photon Flash Player & Browser,Communication,"Appsverse, Inc.","10,000,000 - 50,000,000",6 October 2016,Rated for 3+,3.7,4 (3.1 - 4.0)
Puffin for Facebook,Social,CloudMosa Inc.,"500,000 - 1,000,000",2 October 2016,Rated for 12+,4.0,4 (3.1 - 4.0)
Puffin Academy,Education,CloudMosa Inc.,"1,000,000 - 5,000,000",14 July 2016,Rated for 3+,3.7,4 (3.1 - 4.0)
Chrome Beta,Productivity,Google Inc.,"5,000,000 - 10,000,000",18 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Free Adblocker Browser,Communication,"Rocketshield, Inc.","1,000,000 - 5,000,000",13 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Chrome Canary (Unstable),Productivity,Google Inc.,"100,000 - 500,000",20 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Google Wifi,Communication,Google Inc.,"100,000 - 500,000",13 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Adblock Browser for Android,Communication,Eyeo GmbH,"5,000,000 - 10,000,000",2 February 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Web Browser & Fast Explorer,Social,iJoysoft,"1,000,000 - 5,000,000",17 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Web Browser & Web Explorer,Social,Leopard V7,"1,000,000 - 5,000,000",20 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Samsung Internet for Android,Communication,"Samsung Electronics Co.,  Ltd.","100,000,000 - 500,000,000",19 April 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Weather Ultimate,Weather,Litter Penguin,"1,000,000 - 5,000,000",18 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
Video Player Ultimate(HD),Video Players & Editors,Litter Penguin,"5,000,000 - 10,000,000",8 September 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Photo Gallery & Editor,Photography,Litter Penguin,"500,000 - 1,000,000",12 January 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Web Browser for Android,Communication,mttcross,"1,000,000 - 5,000,000",31 August 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Fast Internet Web Browser,Communication,Application Star Poduct,"50,000 - 100,000",1 October 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Deals for Amazon,Shopping,Best Apps Selection,"10,000 - 50,000",4 September 2015,Rated for 3+,3.7,4 (3.1 - 4.0)
Music Player,Music & Audio,Best Apps Selection,"10,000 - 50,000",9 November 2016,Rated for 3+,3.5,4 (3.1 - 4.0)
Inbox for Hotmail,Communication,Best Apps Selection,"100,000 - 500,000",20 October 2015,Rated for 3+,3.9,4 (3.1 - 4.0)
Panda Browser,Communication,Best Apps Selection,"100,000 - 500,000",27 May 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Global Translator,Tools,Best Apps Selection,"10,000 - 50,000",4 May 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Free WiFi Connect,Communication,Mentisco,"10,000,000 - 50,000,000",27 November 2016,Rated for 3+,3.8,4 (3.1 - 4.0)
Speed Browser Mini,Communication,Top Browser Turbo,"1,000,000 - 5,000,000",12 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Speed Browser 4G Plus,Communication,Top Browser Turbo,"100,000 - 500,000",10 January 2017,Rated for 3+,4.0,4 (3.1 - 4.0)
Fast Browser Mini,Communication,Top Browser Turbo,"100,000 - 500,000",12 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
4G Speedy Browser Turbo,Communication,Top Browser Turbo,"100,000 - 500,000",10 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
Speedy Browser Mini 4G,Communication,Top Browser Turbo,"100,000 - 500,000",16 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Rapid Browser 4G,Communication,Top Browser Turbo,"50,000 - 100,000",16 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Turbo Browser Mini,Communication,Top Browser Turbo,"100,000 - 500,000",12 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Web Design (Learn Offline),Education,MR Soft BD,"100,000 - 500,000",12 July 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Website Builder for Android,Education,Arnabhik Apps Platform.,"1,000 - 5,000",19 March 2016,Rated for 3+,3.3,4 (3.1 - 4.0)
Learn HTML,Education,SoloLearn,"1,000,000 - 5,000,000",15 December 2016,Rated for 3+,4.7,5 (4.1 - 5.0)
Weebly - Create a Free Website,Productivity,"Weebly, Inc.","1,000,000 - 5,000,000",10 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
Jimdo - Create Your Website,Productivity,Jimdo GmbH,"500,000 - 1,000,000",12 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Webs - Create a Free Website,Productivity,"Webs, Inc.","10,000 - 50,000",4 October 2016,Rated for 3+,3.4,4 (3.1 - 4.0)
Website Builder for Android,Productivity,Simple Different Co Ltd,"500,000 - 1,000,000",6 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Hubble Gallery,Education,derekcsm,"50,000 - 100,000",28 December 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
Neuron Gym: Brain Trainer Beta,Education,Edlogiq,"100,000 - 500,000",10 July 2014,Rated for 3+,3.7,4 (3.1 - 4.0)
Wix,Productivity,Wix,"100,000 - 500,000",14 January 2017,Rated for 3+,4.0,4 (3.1 - 4.0)
Website Builder,Productivity,Trendyworks LLC,"100,000 - 500,000",12 May 2015,Rated for 3+,3.5,4 (3.1 - 4.0)
Online Console Compiler(Beta),Education,TheCreativeCub,"50,000 - 100,000",11 January 2017,Rated for 3+,4.6,5 (4.1 - 5.0)
Best Website Builder app,Productivity,Akmin Technologies,"5,000 - 10,000",4 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Android JavaScript Framework,Education,Rob Bowman,"100,000 - 500,000",14 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
"Web Development (HTML,CSS,JS)",Education,Diwa,"50,000 - 100,000",30 July 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Flow Free,Puzzle,Big Duck Games LLC,"100,000,000 - 500,000,000",18 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Cut the Rope FULL FREE,Puzzle,ZeptoLab,"100,000,000 - 500,000,000",7 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Shoot Bubble Deluxe,Puzzle,City Games LLC,"100,000,000 - 500,000,000",26 July 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Where's My Water? 2,Puzzle,Disney,"50,000,000 - 100,000,000",23 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Tic Tac Toe,Puzzle,Wintrino,"10,000,000 - 50,000,000",27 May 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Block Puzzle Classic Plus,Puzzle,Touch Joy Games,"5,000,000 - 10,000,000",1 October 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Block Puzzle Jewel,Puzzle,hua weiwei,"10,000,000 - 50,000,000",11 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Where's My Water? Free,Puzzle,Disney,"50,000,000 - 100,000,000",12 November 2015,Rated for 3+,4.3,5 (4.1 - 5.0)
Escape the prison adventure,Puzzle,Rabbit Bay Games,"5,000,000 - 10,000,000",18 January 2017,Rated for 16+,4.0,4 (3.1 - 4.0)
Tic Tac Toe Glow,Puzzle,Arclite Systems,"10,000,000 - 50,000,000",21 December 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Matches Puzzle Game,Puzzle,Bojan Klabjan,"10,000,000 - 50,000,000",25 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Marble Legend,Puzzle,easygame7,"50,000,000 - 100,000,000",9 November 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Bunny Pop,Puzzle,BitMango,"500,000 - 1,000,000",11 January 2017,Rated for 3+,4.6,5 (4.1 - 5.0)
Words Crush: Hidden Themes!,Word,BitMango,"1,000,000 - 5,000,000",10 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Words Crush: Hidden Words!,Word,BitMango,"5,000,000 - 10,000,000",10 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Unblock Casual,Puzzle,BitMango,"1,000,000 - 5,000,000",12 October 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Word Cookies,Word,BitMango,"1,000,000 - 5,000,000",16 January 2017,Rated for 3+,4.6,5 (4.1 - 5.0)
Lollipop: Sweet Taste Match 3,Puzzle,BitMango,"1,000,000 - 5,000,000",11 January 2017,Rated for 3+,4.6,5 (4.1 - 5.0)
Lollipop Crush,Puzzle,BitMango,"1,000,000 - 5,000,000",16 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Jewel Pop Mania:Match 3 Puzzle,Puzzle,BitMango,"1,000,000 - 5,000,000",10 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Make7! Hexa Puzzle,Puzzle,BitMango,"1,000,000 - 5,000,000",14 December 2016,Rated for 3+,4.6,5 (4.1 - 5.0)
Block Jam!,Puzzle,BitMango,"100,000 - 500,000",13 October 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Wood Block Puzzle,Puzzle,BitMango,"1,000,000 - 5,000,000",19 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Jewel Match King,Puzzle,BitMango,"1,000,000 - 5,000,000",10 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
Pipe Lines : Hexa,Puzzle,BitMango,"1,000,000 - 5,000,000",9 January 2017,Rated for 3+,4.6,5 (4.1 - 5.0)
Where's My Water?,Puzzle,Disney,"1,000,000 - 5,000,000",21 October 2015,Rated for 3+,4.7,5 (4.1 - 5.0)
Cut the Rope 2,Puzzle,ZeptoLab,"50,000,000 - 100,000,000",4 July 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Where's My Mickey? Free,Puzzle,Disney,"10,000,000 - 50,000,000",25 November 2014,Rated for 3+,3.9,4 (3.1 - 4.0)
Can You Escape,Puzzle,MobiGrow,"10,000,000 - 50,000,000",14 July 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Cut the Rope: Time Travel,Puzzle,ZeptoLab,"50,000,000 - 100,000,000",8 September 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Frozen Free Fall: Icy Shot,Casual,Disney,"1,000,000 - 5,000,000",19 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Disney Enchanted Tales,Simulation,Disney,"1,000,000 - 5,000,000",4 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
