name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Golf 3D,Sports,Words Mobile,"10,000,000 - 50,000,000",7 April 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Cooking Tycoon,Casual,Words Mobile,"1,000,000 - 5,000,000",17 August 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Mortal Blade 3D,Action,Words Mobile,"100,000 - 500,000",23 November 2016,Rated for 16+,4.3,5 (4.1 - 5.0)
100 Candy Balls 3D,Casual,Words Mobile,"1,000,000 - 5,000,000",16 June 2014,Rated for 3+,3.8,4 (3.1 - 4.0)
Reckless Moto Rider,Adventure,Words Mobile,"10,000,000 - 50,000,000",25 November 2013,Rated for 16+,4.2,5 (4.1 - 5.0)
Zombie Overkill 3D,Action,Words Mobile,"1,000,000 - 5,000,000",13 June 2016,Rated for 16+,4.1,5 (4.1 - 5.0)
Air Hockey Deluxe,Sports,Words Mobile,"10,000,000 - 50,000,000",11 August 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Escape the Doors,Puzzle,Words Mobile,"500,000 - 1,000,000",9 September 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
4 Pics 1 Word - Guess the Word,Trivia,Words Mobile,"1,000,000 - 5,000,000",28 March 2013,Rated for 3+,4.4,5 (4.1 - 5.0)
Fruit Shoot Archers,Action,Words Mobile,"10,000,000 - 50,000,000",27 November 2014,Rated for 12+,4.1,5 (4.1 - 5.0)
Bull Simulator 3D,Arcade,Words Mobile,"1,000,000 - 5,000,000",8 March 2016,Rated for 7+,4.0,4 (3.1 - 4.0)
Agar.io,Action,Miniclip.com,"50,000,000 - 100,000,000",14 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Nebulous,Action,"Simplicial Software, LLC","10,000,000 - 50,000,000",11 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Wormax.io,Action,Elyland,"1,000,000 - 5,000,000",21 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
diep.io,Action,Miniclip.com,"5,000,000 - 10,000,000",29 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Circle Push,Puzzle,Lowtech Studios,"10,000 - 50,000",3 March 2015,Rated for 3+,3.5,4 (3.1 - 4.0)
2048 Flap,Casual,Lowtech Studios,"100,000 - 500,000",20 December 2014,Unrated,3.7,4 (3.1 - 4.0)
Red Ball 4,Arcade,FDG Entertainment GmbH & Co.KG,"10,000,000 - 50,000,000",8 June 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
LONEWOLF (17+),Adventure,FDG Entertainment GmbH & Co.KG,"1,000,000 - 5,000,000",3 June 2016,Rated for 18+,4.6,5 (4.1 - 5.0)
Paperama,Puzzle,FDG Entertainment GmbH & Co.KG,"10,000,000 - 50,000,000",2 September 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Bloody Harry,Action,FDG Entertainment GmbH & Co.KG,"1,000,000 - 5,000,000",18 May 2016,Rated for 12+,4.6,5 (4.1 - 5.0)
Cover Orange: Journey,Puzzle,FDG Entertainment GmbH & Co.KG,"1,000,000 - 5,000,000",30 May 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Tower Boxing,Arcade,FDG Entertainment GmbH & Co.KG,"1,000,000 - 5,000,000",20 August 2014,Rated for 7+,4.2,5 (4.1 - 5.0)
Car Toons,Puzzle,FDG Entertainment GmbH & Co.KG,"100,000 - 500,000",13 November 2015,Rated for 3+,4.4,5 (4.1 - 5.0)
Cover Orange,Puzzle,FDG Entertainment GmbH & Co.KG,"1,000,000 - 5,000,000",30 May 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Chicken Raid FREE,Casual,FDG Entertainment GmbH & Co.KG,"100,000 - 500,000",19 November 2014,Rated for 3+,4.1,5 (4.1 - 5.0)
Slayin,Arcade,FDG Entertainment GmbH & Co.KG,"1,000,000 - 5,000,000",11 May 2015,Rated for 7+,4.6,5 (4.1 - 5.0)
Super Cat Bros,Action,FDG Entertainment GmbH & Co.KG,"100,000 - 500,000",7 December 2016,Rated for 3+,4.8,5 (4.1 - 5.0)
Across Age DX,Role Playing,FDG Entertainment GmbH & Co.KG,"100,000 - 500,000",9 January 2015,Rated for 12+,3.8,4 (3.1 - 4.0)
Facemania,Trivia,FDG Entertainment GmbH & Co.KG,"50,000 - 100,000",26 May 2014,Rated for 3+,3.8,4 (3.1 - 4.0)
Blosics HD FREE,Casual,FDG Entertainment GmbH & Co.KG,"1,000,000 - 5,000,000",27 February 2013,Rated for 3+,4.4,5 (4.1 - 5.0)
Flippy Bottle Extreme!,Action,Most Played Games,"5,000,000 - 10,000,000",12 October 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Animal Shooter 3D,Action,AbsoMech,"10,000,000 - 50,000,000",8 December 2016,Rated for 16+,3.8,4 (3.1 - 4.0)
Bottle Flip Challenge 2 2k16,Action,Ink Inc.,"100,000 - 500,000",9 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Real Wrestling 3D,Sports,Candy Mobile,"5,000,000 - 10,000,000",22 August 2016,Rated for 12+,4.0,4 (3.1 - 4.0)
Modern Sniper,Action,Candy Mobile,"50,000,000 - 100,000,000",10 April 2016,Rated for 16+,4.2,5 (4.1 - 5.0)
Horse Racing 3D,Racing,Candy Mobile,"5,000,000 - 10,000,000",25 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
